transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
April,February,January,June,March,May
10182,0,0,1500,0,5299
9359,6420,6490,17162,500,0
10488,0,0,799,17748,10867
5888,7676,500,0,8882,10327
15089,1990,8260,11508,0,9736
1990,11157,0,0,0,2896
3147,14946,7188,150,5395,0
5588,4779,8735,19380,0,0
0,21925,6749,7219,9779,9460
6490,11654,0,4795,7728,7070
22511,6442,15169,20129,11826,8397
9289,6691,18966,14476,5098,9243
0,10965,5296,1896,0,4188
5992,15372,9293,0,0,0
10376,7769,0,898,12460,0
10646,7078,16692,16036,10361,0
0,3749,0,5596,0,18270
16351,6687,12018,9386,0,21651
0,2397,0,5492,0,1249
0,0,7296,11266,12656,10775
7696,8694,3089,0,14413,19746
0,16602,0,8480,8955,11786
22522,3196,11875,9718,10146,0
16061,24517,2000,1500,898,0
8294,2397,3345,0,0,24440
0,8048,1099,16528,17326,7391
0,12781,5978,3897,9086,500
0,6485,19318,796,3000,5846
2296,12244,5786,1600,1800,8447
26243,15249,0,4899,0,0
0,5997,0,2898,1150,16749
14388,2296,3980,0,1990,17045
6950,12886,7028,10897,6897,0
7246,1796,7891,150,8950,13541
18339,499,10729,14110,500,17136
8168,2450,9068,7868,7385,6000
10580,0,0,3197,5791,6393
0,0,25148,6395,796,0
22531,597,8587,13914,3980,13450
3600,2100,12316,19856,14955,6099
8922,3746,9169,9475,3980,4197
4995,7367,6000,7895,4749,5296
5493,19996,8695,8747,15143,1950
13948,10696,15263,7449,3897,9893
3790,5000,8394,0,0,5196
0,12656,18372,0,14995,21490
12223,0,15656,0,17005,4580
0,14078,0,0,5296,0
17357,6445,11848,8775,12007,5746
24437,2597,11897,18338,2598,3196
1500,10590,11153,7094,0,7577
0,16434,2992,0,799,2645
2299,13196,3096,13646,4980,12897
5597,21273,3695,3695,9591,8480
0,0,6493,7534,0,12551
16121,8992,0,2988,20440,7078
12000,848,7598,600,300,0
5970,0,19468,6484,0,14193
6769,14254,12558,0,13394,0
4237,7488,27002,17710,0,4387
0,6696,0,0,7966,2294
3646,0,19957,9858,1598,14093
16886,1446,0,10965,0,0
15769,14642,0,16757,9245,3000
10986,0,11100,7146,15675,14141
0,0,5970,0,5289,20156
13882,8381,2699,4480,13723,796
0,0,6394,0,11886,0
14874,16547,12530,9097,11056,3940
18128,4895,11166,0,4877,8869
5196,13550,16966,4387,13795,6891
7446,9098,8970,20915,21065,15262
8598,17252,21906,2048,8468,24656
0,14287,26737,0,14058,0
0,19355,15865,14816,3897,13563
2397,1099,8697,18516,3048,4195
9416,0,20158,4648,10910,20247
5480,17370,17261,796,9923,14988
9894,3000,0,8878,9039,9398
29524,2048,10483,600,1500,0
0,0,11877,12968,14353,0
11681,6548,0,11456,0,10190
0,0,20097,0,18615,4650
0,13087,5578,4193,0,8899
0,12389,7868,0,1990,0
3000,0,11980,10739,6696,16540
0,6000,10336,1150,3193,0
5449,3787,8189,11857,11514,5196
12671,1000,13094,21364,9485,3594
0,0,8199,7470,5443,300
0,3588,17166,11445,28581,4397
10057,5696,597,0,7482,799
10504,14242,7272,7744,0,8367
5291,2998,0,3796,10975,18026
398,15183,4397,12186,10747,11276
0,0,0,7000,24920,18090
0,26874,2198,0,9093,18825
0,11070,0,7893,848,0
15259,0,3886,2898,0,0
13266,8568,0,15978,0,600
0,7895,3095,0,4897,0
7343,4097,0,3598,8196,2897
6396,2000,4392,3980,11288,3193
0,0,3500,5241,6395,0
0,10871,0,8765,199,4286
2749,5397,5547,10390,6874,3795
